Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
OneSignal,Remote,Worldwide remote,careers@onesignal.com,guessed pattern (verify before sending),hr@onesignal.com,onesignal.com,https://onesignal.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d924f2si4418274f8f.317 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
PhonePe,Remote,India / remote,careers@phonepe.com,guessed pattern (verify before sending),hr@phonepe.com,phonepe.com,https://phonepe.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf8cacsi4725342f8f.50 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does n"
Plain.com,Remote,Worldwide remote,careers@plain.com,guessed pattern (verify before sending),hr@plain.com,plain.com,https://plain.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150c09d61si4672771f8f.105 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Preset,Remote,Worldwide remote,careers@preset.io,guessed pattern (verify before sending),hr@preset.io,preset.io,https://preset.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48155667c10si2846976f8f.398 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Razorpay,Remote,Worldwide remote,careers@razorpay.com,guessed pattern (verify before sending),hr@razorpay.com,razorpay.com,https://razorpay.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150da294asi4835063f8f.473 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Render,Remote,Worldwide remote,careers@render.com,company website,hr@render.com,render.com,https://render.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150c0b2b4si5136871f8f.118 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Rippling,Remote,Worldwide remote,hr@rippling.com,company website,"hr@rippling.com, globalnotices@rippling.com",rippling.com,https://rippling.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bfa371si4486474f8f.22 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does n"
Snorkel AI,Remote,Worldwide remote,careers@snorkel.ai,guessed pattern (verify before sending),hr@snorkel.ai,snorkel.ai,https://snorkel.ai/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150bf8ddasi4937465f8f.96 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does n"
Supabase,Remote,Worldwide remote,hr@supabase.com,company website,"hr@supabase.com, abuse@supabase.com, security@supabase.com, help-events@supabase.com",supabase.com,https://supabase.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d85135si5038132f8f.229 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
Webflow,Remote,Worldwide remote,careers@webflow.com,guessed pattern (verify before sending),hr@webflow.com,webflow.com,https://webflow.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150da186esi4823483f8f.434 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
WorkOS,Remote,Worldwide remote,hr@workos.com,company website,"hr@workos.com, hello@workos.com",workos.com,https://workos.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-48150d85e82si4737730f8f.144 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does "
