Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role,SMTP Verification
Astronomer,Remote,Worldwide,careers@astronomer.io,mailbox cache leftover (strict-valid),,astronomer.io,https://astronomer.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f332ec1si16422361f8f.382 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Outsystems,Remote,Worldwide,careers@outsystems.com,mailbox cache leftover (strict-valid),,outsystems.com,https://outsystems.com/careers,,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4800224550esi19648237f8f.254 - gsmtp'
Pantheon,Remote,Worldwide,careers@pantheon.io,mailbox cache leftover (strict-valid),,pantheon.io,https://pantheon.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f33e933si17473750f8f.439 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Rapidapi,Remote,Worldwide,careers@rapidapi.com,mailbox cache leftover (strict-valid),,rapidapi.com,https://rapidapi.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f236513si16549345f8f.13 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
Sproutsocial,Remote,Worldwide,careers@sproutsocial.com,mailbox cache leftover (strict-valid),,sproutsocial.com,https://sproutsocial.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31dc40si15871761f8f.322 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Wso2,Remote,Worldwide,careers@wso2.com,mailbox cache leftover (strict-valid),,wso2.com,https://wso2.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f32ec81si21670000f8f.374 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Anytype,Remote,Worldwide,hr@anytype.io,mailbox cache leftover (strict-valid),,anytype.io,https://anytype.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f24da23si17055464f8f.129 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Riseup,Remote,Worldwide,hr@riseup.ai,mailbox cache leftover (strict-valid),,riseup.ai,https://riseup.ai/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f3187aesi17529553f8f.295 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Wistia,Remote,Worldwide,hr@wistia.com,mailbox cache leftover (strict-valid),,wistia.com,https://wistia.com/careers,,aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2f9070si16605491f8f.200 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b'5.7.1 Message rejected.  Your email could not be delivered to the recipient.\n5.7.1\n5.7.1  - gcdp ffacd0b85a97d-4815f24e4f2si17514923f8f.135 - gsmtp'
Cargo,Remote,Worldwide,jobs@cargo.site,mailbox cache leftover (strict-valid),,cargo.site,https://cargo.site/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31175dsi16820351f8f.284 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Flexibits,Remote,Worldwide,jobs@flexibits.com,mailbox cache leftover (strict-valid),,flexibits.com,https://flexibits.com/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f23669bsi16346115f8f.28 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For m"
Keybase,Remote,Worldwide,jobs@keybase.io,mailbox cache leftover (strict-valid),,keybase.io,https://keybase.io/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f31ce66si16840749f8f.310 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
Jasper,Remote,Worldwide,people@jasper.ai,mailbox cache leftover (strict-valid),,jasper.ai,https://jasper.ai/careers,,"aspmx.l.google.com rcpt 250 b'2.1.5 OK ffacd0b85a97d-4815f2fea2dsi16989211f8f.174 - gsmtp' | fake:aspmx.l.google.com rcpt 550 b""5.1.1 The email account that you tried to reach does not exist. Please try\n5.1.1 double-checking the recipient's email address for typos or\n5.1.1 unnecessary spaces. For "
