Match Score,Title,Company,Role Fit,Work Mode,Location,Location Fit,Pakistan Friendly,Matched Skills,Seniority,Experience Fit,Salary,Job Type,Posted,Source,Apply URL,HR / Recruiter Email,Email Source,Other Emails,Company Domain,Summary,Notes,Applied?,Applied On,Status,My Notes
76,Python Backend Development Talent with RAG and Agentic AI Experience,Toptal,"AI Engineer, Python / Backend",remote,Asia Only,Timezone / APAC remote,Maybe,"Python, FastAPI, AI Engineering, LangChain, RAG, OpenAI / GPT, Backend",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/toptal-python-backend-development-talent-with-rag-and-agentic-ai-experience,,,,toptal.com,"Headquarters: Summary: We are seeking an experienced Python Backend Developer to design, build, and deploy scalable AI-powered applications using Retrieval-Augmented Generation, large language models, and agentic AI frameworks. The role will focus on delivering a…",Remote with APAC/timezone overlap — worth applying.,,,,
59,Backend Python/Django,10Pearls,Python / Backend,remote,Remote,Worldwide remote,Yes,"Python, Django, Backend",unspecified,Maybe,,,,JazzHR/10Pearls,https://10pearls.applytojob.com/apply/aNEYRjfKar/Backend-PythonDjango,careers@10pearls.com,known company contact,info@10pearls.com,10pearls.com,Backend Python/Django Remote 10Pearls,,,,,
54,"Web Frontend Engineer - JS, CSS, React, Flutter",Canonical Ltd.,"Frontend Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"React, TypeScript, Backend, Frontend",unspecified,Maybe,"USD 48,000–70,000 / yearly",Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149527-web-frontend-engineer-js-css-react-flutter,,company website,pr@canonical.com,canonical.com,"Canonical is a leading provider of open-source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and…",,,,,
53,AI Engineer,GitLab,"AI Engineer, Frontend Engineer, Python / Backend",remote,Anywhere in the World,Worldwide remote,Yes,"TypeScript, JavaScript, Python, AI Engineering, RAG, OpenAI / GPT",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/gitlab-ai-engineer,,,,gitlab.com,"Headquarters: Remote, US GitLab is the intelligent orchestration platform for DevSecOps. GitLab enables organizations to increase developer productivity, improve operational efficiency, reduce security and compliance risk, and accelerate digital transformation. More than 50…",,,,,
52,Machine Learning Engineer,Twilio,"AI Engineer, Python / Backend",remote,Anywhere in the World,Worldwide remote,Yes,"Python, AI Engineering, LangChain, Machine Learning",junior,Yes,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/twilio-machine-learning-engineer,,,,twilio.com,"Headquarters: Remote - Spain Who we are At Twilio, we’re shaping the future of communications, all from the comfort of our homes. We deliver innovative solutions to hundreds of thousands of businesses and empower millions of developers worldwide to craft personalized customer…",,,,,
51,"Java Backend Engineer (AI/LLM Chatbot, Customer Service)",Binance,"AI Engineer, Python / Backend",remote,APAC,Timezone / APAC remote,Maybe,"Python, AI Engineering, Backend",junior,Yes,,Full-Time,2026-08-17,Jobicy,https://jobicy.com/jobs/142198-java-backend-engineer-ai-llm-chatbot-customer-service,,,,binance.com,Binance is the leading global blockchain ecosystem and cryptocurrency infrastructure provider whose suite of financial products includes the world’s largest digital-asset exchange.Our mission is to accelerate cryptocurrency adoption and increase the freedom of money. If you’re…,Remote with APAC/timezone overlap — worth applying.,,,,
48,AI/ML Engineer for an AI-Driven E-Commerce Platform,Toptal,"AI Engineer, Frontend Engineer, Python / Backend, Full Stack",remote,Anywhere in the World,Worldwide remote,Yes,"React, Node.js, AI Engineering, OpenAI / GPT, Machine Learning, Full Stack, Backend",unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/toptal-ai-ml-engineer-for-an-ai-driven-e-commerce-platform,,,,toptal.com,"Headquarters: We are seeking an AI Engineer to develop AI-first applications and integrate custom models and infrastructure into an existing e-commerce platform. The role focuses on building agent-led product experiences, including internal automation, dynamic site…",,,,,
44,"Client Full-Stack Engineer — IM Chat Platform, Android Focus",Binance,"AI Engineer, Frontend Engineer, Python / Backend, Full Stack",remote,APAC,Timezone / APAC remote,Maybe,"Next.js, React, TypeScript, OpenAI / GPT, Full Stack, Backend, Frontend",junior,Yes,,Full-Time,2026-08-01,Jobicy,https://jobicy.com/jobs/150064-client-full-stack-engineer-im-chat-platform-android-focus,,,,binance.com,"Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by 300+ million people in 100+ countries for our industry-leading security, user fund transparency, trading engine speed,…",Remote with APAC/timezone overlap — worth applying.,,,,
41,Frontend React/Ember,10Pearls,Frontend Engineer,remote,Remote,Worldwide remote,Yes,"React, Frontend",unspecified,Maybe,,,,JazzHR/10Pearls,https://10pearls.applytojob.com/apply/KqDYKxUH4p/Frontend-ReactEmber,careers@10pearls.com,known company contact,info@10pearls.com,10pearls.com,Frontend React/Ember Remote 10Pearls,,,,,
40,"Python and Kubernetes Software Engineer - Data, Workflows, AI/ML & Analytics",Canonical Ltd.,"AI Engineer, Software Engineer, Python / Backend",remote,Anywhere,Worldwide remote,Yes,"Python, Machine Learning",unspecified,Maybe,,Full-Time,2026-07-21,Jobicy,https://jobicy.com/jobs/149563-python-and-kubernetes-software-engineer-data-workflows-ai-ml-analytics,,company website,pr@canonical.com,canonical.com,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and…",,,,,
