Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
10Pearls,Karachi,Remote,careers@10pearls.com,known company contact,"info@10pearls.com, sahar.afzal@10pearls.com",10pearls.com,https://10pearls.applytojob.com/apply/aNEYRjfKar/Backend-PythonDjango,Backend Python/Django
Abhi,Karachi,Karachi,careers@abhi.com.pk,guessed pattern (verify before sending),hr@abhi.com.pk,abhi.com.pk,https://abhi.com.pk/careers,
Afiniti,Karachi,Karachi / global,careers@afiniti.com,guessed pattern (verify before sending),hr@afiniti.com,afiniti.com,https://afiniti.com/careers,
Avanza Solutions,Karachi,Karachi,careers@avanzasolutions.com,guessed pattern (verify before sending),hr@avanzasolutions.com,avanzasolutions.com,https://avanzasolutions.com/careers,
Bazaar Technologies,Karachi,Karachi,careers@bazaartech.com,guessed pattern (verify before sending),hr@bazaartech.com,bazaartech.com,https://bazaartech.com/careers,
Bykea,Karachi,Karachi,careers@bykea.com,guessed pattern (verify before sending),hr@bykea.com,bykea.com,https://bykea.com/careers,
Careem,Karachi,"Amman, Jordan; Islamabad, Pakistan; Karachi, Pakistan; Lahore, Pakistan",careers@careem.com,known company contact,,careem.com,https://boards.greenhouse.io/careem/jobs/8620291002?gh_jid=8620291002,Senior Software Engineer I - Backend
Contour Software,Karachi,Karachi,careers@contour-software.com,company website,"hr@contour-software.com, info@contour-software.com",contour-software.com,https://contour-software.com/careers,
Cubix,Karachi,Karachi,hr@cubixlabs.com,known + company website,info@cubix.co,cubix.co,https://cubix.co/careers,
CureMD,Karachi,Karachi,nathan.bradshaw@curemd.com,company website,,curemd.com,https://curemd.com/careers,
Daraz,Karachi,Karachi,careers@daraz.pk,guessed pattern (verify before sending),hr@daraz.pk,daraz.pk,https://daraz.pk/careers,
Dubizzle Pakistan / OLX,Karachi,Karachi,careers@olx.com.pk,guessed pattern (verify before sending),hr@olx.com.pk,olx.com.pk,https://olx.com.pk/careers,
Folio3,Karachi,Karachi,careers@folio3.com,guessed pattern (verify before sending),hr@folio3.com,folio3.com,https://folio3.com/careers,
Foodpanda Pakistan,Karachi,Karachi,careers@foodpanda.pk,guessed pattern (verify before sending),hr@foodpanda.pk,foodpanda.pk,https://foodpanda.pk/careers,
Gaditek,Karachi,Karachi,careers@gaditek.com,guessed pattern (verify before sending),hr@gaditek.com,gaditek.com,https://gaditek.com/careers,
Haball,Karachi,Karachi,info@haball.pk,company website,,haball.pk,https://haball.pk/careers,
Ibex,Karachi,Karachi,careers@ibex.co,guessed pattern (verify before sending),hr@ibex.co,ibex.co,https://ibex.co/careers,
Inbox Business Technologies,Karachi,Karachi,careers@inboxbiz.com,guessed pattern (verify before sending),hr@inboxbiz.com,inboxbiz.com,https://inboxbiz.com/careers,
Jazz,Karachi,Karachi,careers@jazz.com.pk,guessed pattern (verify before sending),hr@jazz.com.pk,jazz.com.pk,https://jazz.com.pk/careers,
KalSoft,Karachi,Karachi,careers@kalsoft.com,guessed pattern (verify before sending),hr@kalsoft.com,kalsoft.com,https://kalsoft.com/careers,
Keenu,Karachi,Karachi,help@keenu.pk,company website,customercare@keenu.pk,keenu.pk,https://keenu.pk/careers,
Motive,Karachi,Karachi / remote,careers@gomotive.com,known + company website,info@gomotive.com,gomotive.com,https://gomotive.com/careers,
NayaPay,Karachi,Karachi,careers@nayapay.com,company website,,nayapay.com,https://nayapay.com/careers,
NorthBay Solutions,Karachi,Karachi,info@northbaysolutions.com,company website,,northbaysolutions.com,https://northbaysolutions.com/careers,
Ovex Technologies,Karachi,Karachi,info@ovextech.com,company website,,ovextech.com,https://ovextech.com/careers,
PakWheels,Karachi,Karachi,careers@pakwheels.com,guessed pattern (verify before sending),hr@pakwheels.com,pakwheels.com,https://pakwheels.com/careers,
Retailo,Karachi,Karachi,ideas@retailo.co,company website,info@retailo.co,retailo.co,https://retailo.co/careers,
SadaPay,Karachi,Pakistan,careers@sadapay.pk,known company contact,hello@sadapay.pk,sadapay.pk,https://sadapay.pk/jobs-listing/full-stack-product-engineer,Full Stack Product Engineer Apply 100% remote Full-time Part-time Karachi (preferred) | Remote (considered) Apply
Salsoft Technologies,Karachi,Karachi,hr@salsoft.net,company website,"info@salsoft.net, connecthr@salsoft.net",salsoft.net,https://salsoft.net/careers,
Sastaticket,Karachi,Karachi,careers@sastaticket.pk,guessed pattern (verify before sending),hr@sastaticket.pk,sastaticket.pk,https://sastaticket.pk/careers,
Securiti,Karachi,Karachi / remote,careers@securiti.ai,guessed pattern (verify before sending),hr@securiti.ai,securiti.ai,https://securiti.ai/careers,
Softech Worldwide,Karachi,Karachi,jhernandez@softechworldwide.com,company website,,softechworldwide.com,https://softechworldwide.com/careers,
Strategic Systems International,Karachi,Karachi,careers@ssidecisions.com,company website,hr@ssidecisions.com,ssidecisions.com,https://ssidecisions.com/careers,
Systems Limited,Karachi,Karachi,investor_relations@systemsltd.com,company website,fayez.qamar@systemsltd.com,systemsltd.com,https://systemsltd.com/careers,
Techlogix,Karachi,Karachi,careers@techlogix.com,guessed pattern (verify before sending),hr@techlogix.com,techlogix.com,https://techlogix.com/careers,
Telenor Pakistan,Karachi,Karachi,careers@telenor.com.pk,guessed pattern (verify before sending),hr@telenor.com.pk,telenor.com.pk,https://telenor.com.pk/careers,
Tintash,Karachi,Karachi,careers@tintash.com,guessed pattern (verify before sending),hr@tintash.com,tintash.com,https://tintash.com/careers,
TPS Worldwide,Karachi,Karachi,careers@tpsworldwide.com,guessed pattern (verify before sending),hr@tpsworldwide.com,tpsworldwide.com,https://tpsworldwide.com/careers,
Trax,Karachi,Karachi,careers@trax.pk,guessed pattern (verify before sending),hr@trax.pk,trax.pk,https://trax.pk/careers,
TRG Pakistan,Karachi,Karachi,careers@trgpakistan.com,guessed pattern (verify before sending),hr@trgpakistan.com,trgpakistan.com,https://trgpakistan.com/careers,
Turing,Karachi,Remote / PK,careers@turing.com,known + company website,"partnerships@turing.com, bugbounty@turing.com",turing.com,https://turing.com/careers,
VentureDive,Karachi,Karachi,careers@venturedive.com,known company contact,hr@venturedive.com,venturedive.com,https://venturedive.applytojob.com/apply/Kvd4hJout1/AI-Engineer-Agentic-Frameworks-LLMs,AI Engineer - Agentic Frameworks & LLMs
Xgrid,Karachi,Karachi,careers@xgrid.co,guessed pattern (verify before sending),hr@xgrid.co,xgrid.co,https://xgrid.co/careers,
Zameen,Karachi,Karachi,careers@zameen.com,guessed pattern (verify before sending),hr@zameen.com,zameen.com,https://zameen.com/careers,
Airtable,Pakistan,Anywhere in the World,hr@airtable.com,job posting,,,https://weworkremotely.com/remote-jobs/airtable-software-engineer-infrastructure-8-yoe,"Software Engineer, Infrastructure (8+ YOE)"
Arbisoft,Pakistan,Lahore,contact@arbisoft.com,known + company website,kontakt@arbisoft.com,arbisoft.com,https://arbisoft.com/careers,
Cloudflare,Pakistan,Anywhere in the World,hr@cloudflare.com,job posting,,,https://weworkremotely.com/remote-jobs/cloudflare-principal-partner-solutions-engineer-saarc-based-in-bangalore,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)"
Coderisti / Recur,Pakistan,Lahore,careers@recur.com,guessed pattern (verify before sending),hr@recur.com,recur.com,https://recur.com/careers,
Confiz,Pakistan,Lahore,careers@confiz.com,guessed pattern (verify before sending),hr@confiz.com,confiz.com,https://confiz.com/careers,
Devsinc,Pakistan,Lahore / Islamabad,global.business@devsinc.com,known + company website,,devsinc.com,https://devsinc.com/careers,
Dubizzle Labs,Pakistan,Lahore,info@dubizzlelabs.com,company website,,dubizzlelabs.com,https://dubizzlelabs.com/careers,
Empiric,Pakistan,Lahore,careers@empiric.com,guessed pattern (verify before sending),hr@empiric.com,empiric.com,https://empiric.com/careers,
Emumba,Pakistan,Islamabad,careers@emumba.com,guessed pattern (verify before sending),hr@emumba.com,emumba.com,https://emumba.com/careers,
LaunchDarkly,Pakistan,Anywhere in the World,careers@launchdarkly.com,job posting,hr@launchdarkly.com,,https://weworkremotely.com/remote-jobs/launchdarkly-backend-engineer-flag-delivery,"Backend Engineer, Flag Delivery"
Netsol,Pakistan,Lahore,careers@netsoltech.com,guessed pattern (verify before sending),hr@netsoltech.com,netsoltech.com,https://netsoltech.com/careers,
Nextbridge,Pakistan,Lahore,careers@nextbridge.pk,guessed pattern (verify before sending),hr@nextbridge.pk,nextbridge.pk,https://nextbridge.pk/careers,
PureLogics,Pakistan,Lahore,info@purelogics.com,company website,,purelogics.com,https://purelogics.com/careers,
Thoughtworks,Pakistan,PK / global,careers@thoughtworks.com,known + company website,"info-us@thoughtworks.com, sg-th-sharedservices@thoughtworks.com, backgroundverification-india@thoughtworks.com, hr@thoughtworks.com, jobs@thoughtworks.com, talent@thoughtworks.com, recruiting@thoughtworks.com",thoughtworks.com,https://www.thoughtworks.com/careers/jobs/8052979?gh_jid=8052979,Lead Developer (Python /Node.js +React)
Tkxel,Pakistan,Lahore,careers@tkxel.com,guessed pattern (verify before sending),hr@tkxel.com,tkxel.com,https://tkxel.com/careers,
Al Jazeera Digital,Qatar,Doha,careers@aljazeera.com,guessed pattern (verify before sending),hr@aljazeera.com,aljazeera.com,https://aljazeera.com/careers,
BeIN Media Group,Qatar,Doha,careers@bein.com,guessed pattern (verify before sending),hr@bein.com,bein.com,https://bein.com/careers,
Commercial Bank Qatar,Qatar,Doha,careers@cbq.qa,guessed pattern (verify before sending),hr@cbq.qa,cbq.qa,https://cbq.qa/careers,
Doha Bank,Qatar,Doha,careers@dohabank.com.qa,company website,hellodoha@dohabank.com.qa,dohabank.com.qa,https://dohabank.com.qa/careers,
HBKU / Qatar Foundation IT,Qatar,Doha,careers@hbku.edu.qa,guessed pattern (verify before sending),hr@hbku.edu.qa,hbku.edu.qa,https://hbku.edu.qa/careers,
Malomatia,Qatar,Doha,info@malomatia.com,company website,,malomatia.com,https://malomatia.com/careers,
Mannai,Qatar,Doha,recruitment@mannai.com.qa,company website,,mannai.com,https://mannai.com/careers,
Masraf Al Rayan,Qatar,Doha,ari.info@alrayan.com,company website,"u003eari.info@alrayan.com, ir@alrayan.com, u003eir@alrayan.com, shareholdersaffairs@alrayan.com, u003eshareholdersaffairs@alrayan.com, tony.merhej@alrayan.com, wecare@alrayan.com, u003ewecare@alrayan.com",alrayan.com,https://alrayan.com/careers,
Meeza,Qatar,Doha,investors@meeza.net,company website,info@meeza.net,meeza.net,https://meeza.net/careers,
Ooredoo Money,Qatar,Doha,careers@ooredoomoney.com,guessed pattern (verify before sending),hr@ooredoomoney.com,ooredoomoney.com,https://ooredoomoney.com/careers,
QatarEnergy Digital,Qatar,Doha,careers@qatarenergy.qa,guessed pattern (verify before sending),hr@qatarenergy.qa,qatarenergy.qa,https://qatarenergy.qa/careers,
